ID;year;date;TL;pop_size_meancentered;island_name;island_ID;brood_ID;sampling_age_days;clutch_size;sex;tarsus;mass;tarsus_agecorrected;condition;hatch_date;hatchday_meancentered;firstyear_survival;min_lifespan_days;censored;dispersal
1;2007;27.07.2007;1.13;69.5;hestmannoey;27;2007.27.B.214.A.3;5;5;1;NA;NA;NA;NA;22.07.2007;34.66605972;0;5;2;0
2;2007;27.07.2007;1.05;69.5;hestmannoey;27;2007.27.B.214.A.3;11;5;1;18.58;25;0.032324444;-0.560873138;22.07.2007;34.66605972;0;11;2;0
3;2007;27.07.2007;1.14;69.5;hestmannoey;27;2007.27.B.214.A.3;11;5;1;19.42;26.5;0.872324444;-1.076880474;22.07.2007;34.66605972;0;19;2;0
4;2007;27.07.2007;0.96;69.5;hestmannoey;27;2007.27.B.214.A.3;11;5;2;17.84;25.2;-0.683043536;1.411342922;22.07.2007;34.66605972;0;11;2;0
5;2007;29.07.2007;1.17;69.5;hestmannoey;27;2007.27.B.210.A.2;10;5;2;17.52;26.6;-0.63466825;3.576606978;23.07.2007;35.66605972;0;10;2;0
6;2007;02.08.2007;2.16;69.5;hestmannoey;27;2007.27.B.210.A.2;10;5;2;17.93;26.4;-0.22466825;2.395992781;23.07.2007;35.66605972;0;10;2;0
7;1999;15.05.1999;0.99;11.5;hestmannoey;27;1999.27.B.1.A.1;11;2;NA;16.9;24.3;-1.461894038;2.757416722;08.05.1999;-40.33394028;0;11;2;0
8;1999;19.05.1999;0.97;11.5;hestmannoey;27;1999.27.B.3.A.1;8;4;2;14.8;17.7;-2.365462004;1.154545022;11.05.1999;-37.33394028;0;8;2;0
9;1999;19.05.1999;1.08;11.5;hestmannoey;27;1999.27.B.3.A.1;8;4;1;16.6;20.4;-0.527686869;-0.426957193;11.05.1999;-37.33394028;0;8;2;0
10;1999;19.05.1999;1.09;11.5;hestmannoey;27;1999.27.A.17.A.1;9;3;2;17;16.6;-0.702141072;-5.181254982;10.05.1999;-38.33394028;1;445;2;0
11;1999;19.05.1999;1.04;11.5;hestmannoey;27;1999.27.A.17.A.1;9;3;2;13.8;10.7;-3.902141072;-3.475919894;10.05.1999;-38.33394028;0;9;2;0
12;1999;19.05.1999;0.69;11.5;hestmannoey;27;1999.27.A.17.A.1;9;3;1;16;17.1;-1.701359952;-2.297455636;10.05.1999;-38.33394028;1;447;2;0
