"","ID","year","TL","sex","island_ID","survival","age","first_year","last_year","brood_ID","min_lifespan_years","recruits","tarsres"
"1",10,2000,1.09,2,27,0,1,1999,2000,"1999.27.A.17.A.1",1,0,-0.702141072
"2",12,2000,0.69,1,27,0,1,1999,2000,"1999.27.A.17.A.1",1,0,-1.701359952
"3",19,2000,0.57,2,27,1,1,1999,2001,"1999.27.A.24.A.1",2,0,0.34533175
"4",19,2001,0.57,2,27,0,2,1999,2001,"1999.27.A.24.A.1",2,0,0.34533175
"5",23,2000,0.89,1,27,1,1,1999,2001,"1999.27.A.24.A.1",2,3,-0.074689514
"6",23,2001,0.89,1,27,0,2,1999,2001,"1999.27.A.24.A.1",2,1,-0.074689514
"7",40,2000,1.1,1,27,0,1,1999,2000,"1999.27.A.17.A.2",1,0,1.398640048
"8",41,2000,1.03,1,27,0,1,1999,2000,"1999.27.A.17.A.2",1,0,0.698640048
"9",52,1995,0.92,2,27,0,1,1994,1995,"1994.27.B.52.1",1,0,2.447858928
"10",54,1995,0.58,1,27,1,1,1994,1996,"1994.27.B.52.1",2,0,2.648640048
"11",54,1996,0.58,1,27,0,2,1994,1996,"1994.27.B.52.1",2,0,2.648640048
"12",61,1995,1.12,1,27,1,1,1994,1996,"1994.27.B.6.B.3",2,0,1.325310486
"13",61,1996,1.12,1,27,0,2,1994,1996,"1994.27.B.6.B.3",2,0,1.325310486
"14",65,1995,0.65,1,27,0,1,1994,1995,"1994.27.B.51.1",1,0,0.825310486
"15",66,1995,0.76,1,27,0,1,1994,1995,"1994.27.B.51.1",1,0,0.825310486
"16",68,1995,0.87,2,27,1,1,1994,2001,"1994.27.B.14.3",7,2,-0.173258046
"17",68,1996,0.87,2,27,1,2,1994,2001,"1994.27.B.14.3",7,1,-0.173258046
"18",68,1997,0.87,2,27,1,3,1994,2001,"1994.27.B.14.3",7,1,-0.173258046
"19",68,1998,0.87,2,27,1,4,1994,2001,"1994.27.B.14.3",7,3,-0.173258046
"20",68,1999,0.87,2,27,1,5,1994,2001,"1994.27.B.14.3",7,0,-0.173258046
"21",68,2000,0.87,2,27,1,6,1994,2001,"1994.27.B.14.3",7,1,-0.173258046
"22",68,2001,0.87,2,27,0,7,1994,2001,"1994.27.B.14.3",7,2,-0.173258046
