"","date","year","month","day","yearday","temperature","precipitation","atm_pressure","NAO"
"1","01.04.1994",1994,4,1,91,279.85,1.3,984,1.759
"2","02.04.1994",1994,4,2,92,278.85,0,981.4,1.625
"3","03.04.1994",1994,4,3,93,278.45,1.3,995.3,1.723
"4","04.04.1994",1994,4,4,94,278.95,0,987.8,1.398
"5","05.04.1994",1994,4,5,95,277.95,0,992.4,1.002
"6","06.04.1994",1994,4,6,96,277.15,1,995.4,0.929
"7","07.04.1994",1994,4,7,97,278.15,4.6,1001.5,0.924
"8","08.04.1994",1994,4,8,98,278.15,0,997.1,0.814
"9","09.04.1994",1994,4,9,99,277.55,0.1,1003.9,0.56
"10","10.04.1994",1994,4,10,100,277.35,1,1014.4,0.742
"11","11.04.1994",1994,4,11,101,277.15,2.1,1019.2,1.044
"12","12.04.1994",1994,4,12,102,278.35,0.1,1014.6,0.786
"13","13.04.1994",1994,4,13,103,277.95,1.7,1014.9,0.487
"14","14.04.1994",1994,4,14,104,277.15,7.4,1022.7,0.333
"15","15.04.1994",1994,4,15,105,277.05,0,1021.6,0.643
"16","16.04.1994",1994,4,16,106,276.85,6,1010.4,0.635
"17","17.04.1994",1994,4,17,107,274.65,4.8,1012.5,0.366
"18","18.04.1994",1994,4,18,108,275.25,0.1,1012,0.2
"19","19.04.1994",1994,4,19,109,275.45,0.1,1006.9,0.192
"20","20.04.1994",1994,4,20,110,275.65,0.5,1005.7,-0.106
"21","21.04.1994",1994,4,21,111,276.15,0,1003,-0.313
"22","22.04.1994",1994,4,22,112,277.45,1.5,1001.1,-0.613
"23","23.04.1994",1994,4,23,113,276.55,1,1009.8,-0.855
"24","24.04.1994",1994,4,24,114,276.85,5.4,1014.8,-0.996
"25","25.04.1994",1994,4,25,115,282.45,0.1,1011.5,-0.947
"26","26.04.1994",1994,4,26,116,282.55,0,1007.8,-0.631
"27","27.04.1994",1994,4,27,117,279.75,1,1004,-0.061
"28","28.04.1994",1994,4,28,118,278.55,0.5,1003,0.395
"29","29.04.1994",1994,4,29,119,277.25,2.6,1004.4,0.196
"30","30.04.1994",1994,4,30,120,275.25,0.8,1010.4,-0.037
"31","01.05.1994",1994,5,1,121,274.75,0.4,1014.6,-0.043
"32","02.05.1994",1994,5,2,122,276.65,0.1,1022.3,0.15
"33","03.05.1994",1994,5,3,123,278.05,0.1,1017.2,0.196
"34","04.05.1994",1994,5,4,124,278.65,0.2,1016.7,0.308
"35","05.05.1994",1994,5,5,125,279.15,0,1014.5,0.503
"36","06.05.1994",1994,5,6,126,282.95,0,1011.7,0.709
"37","07.05.1994",1994,5,7,127,280.55,0.7,1016,0.879
"38","08.05.1994",1994,5,8,128,281.05,0.9,1014,0.766
"39","09.05.1994",1994,5,9,129,280.55,0.6,1013.2,0.654
"40","10.05.1994",1994,5,10,130,279.75,0,1024.3,0.519
"41","11.05.1994",1994,5,11,131,278.85,0,1028.4,0.277
